block;type;material;processing;categories;biome
oak_planks;natural;wood;processed;oak;
oak_stairs;stairs;wood;processed;oak;
oak_slab;slab;wood;processed;oak;
oak_fence;fence;wood;processed;oak;
oak_log;log;wood;natural;oak;
oak_fence_gate;gate;wood;processed;oak;
oak_door;door;wood;processed;oak;
oak_trapdoor;trapdoor;wood;processed;oak;
spruce_planks;natural;wood;processed;spruce;
spruce_stairs;stairs;wood;processed;spruce;
spruce_slab;slab;wood;processed;spruce;
spruce_fence;fence;wood;processed;spruce;
spruce_log;log;wood;natural;spruce;
spruce_fence_gate;gate;wood;processed;spruce;
spruce_door;door;wood;processed;spruce;
spruce_trapdoor;trapdoor;wood;processed;spruce;
birch_planks;natural;wood;processed;birch;
birch_stairs;stairs;wood;processed;birch;
birch_slab;slab;wood;processed;birch;
birch_fence;fence;wood;processed;birch;
birch_log;log;wood;natural;birch;
birch_fence_gate;gate;wood;processed;birch;
birch_door;door;wood;processed;birch;
birch_trapdoor;trapdoor;wood;processed;birch;
jungle_planks;natural;wood;processed;jungle;
jungle_stairs;stairs;wood;processed;jungle;
jungle_slab;slab;wood;processed;jungle;
jungle_fence;fence;wood;processed;jungle;
jungle_log;log;wood;natural;jungle;
jungle_fence_gate;gate;wood;processed;jungle;
jungle_door;door;wood;processed;jungle;
jungle_trapdoor;trapdoor;wood;processed;jungle;
acacia_planks;natural;wood;processed;acacia;
acacia_stairs;stairs;wood;processed;acacia;
acacia_slab;slab;wood;processed;acacia;
acacia_fence;fence;wood;processed;acacia;
acacia_log;log;wood;natural;acacia;
acacia_fence_gate;gate;wood;processed;acacia;
acacia_door;door;wood;processed;acacia;
acacia_trapdoor;trapdoor;wood;processed;acacia;
dark_oak_planks;natural;wood;processed;dark_oak;
dark_oak_stairs;stairs;wood;processed;dark_oak;
dark_oak_slab;slab;wood;processed;dark_oak;
dark_oak_fence;fence;wood;processed;dark_oak;
dark_oak_log;log;wood;natural;dark_oak;
dark_oak_fence_gate;gate;wood;processed;dark_oak;
dark_oak_door;door;wood;processed;dark_oak;
dark_oak_trapdoor;trapdoor;wood;processed;dark_oak;
mangrove_planks;natural;wood;processed;mangrove;
mangrove_stairs;stairs;wood;processed;mangrove;
mangrove_slab;slab;wood;processed;mangrove;
