block,type,material,processing,categories,biome,r,g,b,a,hue
oak_planks,natural,wood,processed,oak,,162.0,131.0,79.0,255.0,38
oak_stairs,stairs,wood,processed,oak,,162.0,131.0,79.0,255.0,38
oak_slab,slab,wood,processed,oak,,162.0,131.0,79.0,255.0,38
oak_fence,fence,wood,processed,oak,,0.0,0.0,0.0,0.0,
oak_log,log,wood,natural,oak,,132.5,105.0,63.0,255.0,36
oak_fence_gate,gate,wood,processed,oak,,162.0,131.0,79.0,255.0,38
oak_door,door,wood,processed,oak,,139.5,109.5,63.5,226.0,36
oak_trapdoor,trapdoor,wood,processed,oak,,128.0,102.0,58.0,214.0,38
spruce_planks,natural,wood,processed,spruce,,115.0,85.0,49.0,255.0,33
spruce_stairs,stairs,wood,processed,spruce,,115.0,85.0,49.0,255.0,33
spruce_slab,slab,wood,processed,spruce,,115.0,85.0,49.0,255.0,33
spruce_fence,fence,wood,processed,spruce,,0.0,0.0,0.0,0.0,
spruce_log,log,wood,natural,spruce,,85.0,60.0,32.5,255.0,31
spruce_fence_gate,gate,wood,processed,spruce,,115.0,85.0,49.0,255.0,33
spruce_door,door,wood,processed,spruce,,106.0,80.0,48.5,255.0,33
spruce_trapdoor,trapdoor,wood,processed,spruce,,104.0,79.0,48.0,255.0,33
birch_planks,natural,wood,processed,birch,,192.0,175.0,121.0,255.0,46
birch_stairs,stairs,wood,processed,birch,,192.0,175.0,121.0,255.0,46
birch_slab,slab,wood,processed,birch,,192.0,175.0,121.0,255.0,46
birch_fence,fence,wood,processed,birch,,0.0,0.0,0.0,0.0,
birch_log,log,wood,natural,birch,,206.5,198.5,172.5,255.0,46
birch_fence_gate,gate,wood,processed,birch,,192.0,175.0,121.0,255.0,46
birch_door,door,wood,processed,birch,,217.0,205.5,164.5,255.0,47
birch_trapdoor,trapdoor,wood,processed,birch,,213.0,201.0,167.0,255.0,44
jungle_planks,natural,wood,processed,jungle,,161.0,115.0,81.0,255.0,26
jungle_stairs,stairs,wood,processed,jungle,,161.0,115.0,81.0,255.0,26
jungle_slab,slab,wood,processed,jungle,,161.0,115.0,81.0,255.0,26
jungle_fence,fence,wood,processed,jungle,,0.0,0.0,0.0,0.0,
jungle_log,log,wood,natural,jungle,,119.5,90.0,49.5,255.0,35
jungle_fence_gate,gate,wood,processed,jungle,,161.0,115.0,81.0,255.0,26
jungle_door,door,wood,processed,jungle,,161.5,117.0,82.0,235.5,26
jungle_trapdoor,trapdoor,wood,processed,jungle,,157.0,113.0,80.0,203.0,26
acacia_planks,natural,wood,processed,acacia,,168.0,90.0,50.0,255.0,20
acacia_stairs,stairs,wood,processed,acacia,,168.0,90.0,50.0,255.0,20
acacia_slab,slab,wood,processed,acacia,,168.0,90.0,50.0,255.0,20
acacia_fence,fence,wood,processed,acacia,,0.0,0.0,0.0,0.0,
acacia_log,log,wood,natural,acacia,,129.5,93.0,70.5,255.0,23
acacia_fence_gate,gate,wood,processed,acacia,,168.0,90.0,50.0,255.0,20
acacia_door,door,wood,processed,acacia,,165.5,93.5,58.5,172.0,20
acacia_trapdoor,trapdoor,wood,processed,acacia,,160.0,89.0,52.0,186.0,21
dark_oak_planks,natural,wood,processed,dark_oak,,67.0,43.0,20.0,255.0,29
dark_oak_stairs,stairs,wood,processed,dark_oak,,67.0,43.0,20.0,255.0,29
dark_oak_slab,slab,wood,processed,dark_oak,,67.0,43.0,20.0,255.0,29
dark_oak_fence,fence,wood,processed,dark_oak,,0.0,0.0,0.0,0.0,
dark_oak_log,log,wood,natural,dark_oak,,64.0,46.0,24.0,255.0,33
dark_oak_fence_gate,gate,wood,processed,dark_oak,,67.0,43.0,20.0,255.0,29
dark_oak_door,door,wood,processed,dark_oak,,75.0,50.0,24.5,255.0,30
dark_oak_trapdoor,trapdoor,wood,processed,dark_oak,,76.0,50.0,23.0,255.0,31
mangrove_planks,natural,wood,processed,mangrove,,118.0,54.0,49.0,255.0,4
mangrove_stairs,stairs,wood,processed,mangrove,,118.0,54.0,49.0,255.0,4
mangrove_slab,slab,wood,processed,mangrove,,118.0,54.0,49.0,255.0,4
mangrove_fence,fence,wood,processed,mangrove,,0.0,0.0,0.0,0.0,
mangrove_log,log,wood,natural,mangrove,,94.0,57.0,41.5,255.0,18
mangrove_fence_gate,gate,wood,processed,mangrove,,118.0,54.0,49.0,255.0,4
mangrove_door,door,wood,processed,mangrove,,112.5,48.0,46.5,255.0,1
mangrove_trapdoor,trapdoor,wood,processed,mangrove,,111.0,46.0,43.0,212.0,3
cherry_planks,natural,wood,processed,cherry,,227.0,179.0,173.0,255.0,7
cherry_stairs,stairs,wood,processed,cherry,,227.0,179.0,173.0,255.0,7
cherry_slab,slab,wood,processed,cherry,,227.0,179.0,173.0,255.0,7
cherry_fence,fence,wood,processed,cherry,,0.0,0.0,0.0,0.0,
cherry_log,log,wood,natural,cherry,,125.5,91.5,94.5,255.0,355
cherry_fence_gate,gate,wood,processed,cherry,,227.0,179.0,173.0,255.0,7
cherry_door,door,wood,processed,cherry,,223.5,172.5,166.0,233.0,7
cherry_trapdoor,trapdoor,wood,processed,cherry,,226.0,178.0,172.0,209.0,7
bamboo_planks,natural,wood,processed,bamboo,,194.0,173.0,81.0,255.0,49
bamboo_stairs,stairs,wood,processed,bamboo,,194.0,173.0,81.0,255.0,49
bamboo_slab,slab,wood,processed,bamboo,,194.0,173.0,81.0,255.0,49
bamboo_mosaic,natural,wood,processed,bamboo,,190.0,170.0,78.0,255.0,49
bamboo_mosaic_stairs,stairs,wood,processed,bamboo,,190.0,170.0,78.0,255.0,49
bamboo_mosaic_slab,slab,wood,processed,bamboo,,190.0,170.0,78.0,255.0,49
bamboo_fence,fence,wood,processed,bamboo,,0.0,0.0,0.0,0.0,
bamboo_block,log,wood,natural,bamboo,,133.0,142.5,60.0,255.0,67
